occupation,year,men,women,diff,FirstYear,shorthand,firstyeardif
Postsecondary teachers,2019,1670,1358,312,2015,Postsecondary Teachers,51
Postsecondary teachers,2020,1633,1384,249,2015,Postsecondary Teachers,-12
Postsecondary teachers,2021,1653,1483,170,2015,Postsecondary Teachers,-23
Production occupations,2015,729,519,210,2015,Production Occupations,0
Production occupations,2016,723,527,196,2015,Production Occupations,-14
Production occupations,2017,769,564,205,2015,Production Occupations,-5
Production occupations,2018,793,575,218,2015,Production Occupations,8
Production occupations,2019,814,596,218,2015,Production Occupations,8
Production occupations,2020,841,630,211,2015,Production Occupations,1
Production occupations,2021,884,653,231,2015,Production Occupations,-38
"Production workers, all other",2015,666,501,165,2015,Production Workers,0
"Production workers, all other",2016,690,515,175,2015,Production Workers,12
"Production workers, all other",2017,716,570,146,2015,Production Workers,0
"Production workers, all other",2018,725,566,159,2015,Production Workers,-30
"Production workers, all other",2019,767,566,201,2015,Production Workers,8
"Production workers, all other",2020,798,637,161,2015,Production Workers,113
"Production workers, all other",2021,809,630,179,2015,Production Workers,26
Project management ,2020,1693,1468,225,2020,Project Management ,79
Project management ,2021,1861,1455,406,2020,Project Management ,-34
Protective service occupations,2015,851,655,196,2015,Protective Service Occupations,0
Protective service occupations,2016,854,688,166,2015,Protective Service Occupations,-31
Protective service occupations,2017,894,690,204,2015,Protective Service Occupations,3
Protective service occupations,2018,922,613,309,2015,Protective Service Occupations,-37
Protective service occupations,2019,953,731,222,2015,Protective Service Occupations,49
Protective service occupations,2020,1043,768,275,2015,Protective Service Occupations,2
Protective service occupations,2021,1067,814,253,2015,Protective Service Occupations,-13
Receptionists and information clerks,2015,619,569,50,2015,Receptionists,0
Receptionists and information clerks,2016,600,581,19,2015,Receptionists,-6
Receptionists and information clerks,2017,652,599,53,2015,Receptionists,-7
Receptionists and information clerks,2018,593,606,13,2015,Receptionists,-9
Receptionists and information clerks,2019,735,636,99,2015,Receptionists,-85
Receptionists and information clerks,2020,688,636,52,2015,Receptionists,90
Receptionists and information clerks,2021,796,674,122,2015,Receptionists,-26
Registered nurses,2015,1222,1098,124,2015,Registered Nurses,0
Registered nurses,2016,1261,1143,118,2015,Registered Nurses,16
Registered nurses,2017,1260,1143,117,2015,Registered Nurses,-19
Registered nurses,2018,1271,1156,115,2015,Registered Nurses,21
Registered nurses,2019,1256,1217,39,2015,Registered Nurses,28
Registered nurses,2020,1454,1240,214,2015,Registered Nurses,-24
Registered nurses,2021,1437,1274,163,2015,Registered Nurses,32
Retail salespersons,2015,694,494,200,2015,Retail Salespersons,0
Retail salespersons,2016,730,514,216,2015,Retail Salespersons,12
Retail salespersons,2017,704,523,181,2015,Retail Salespersons,23
Retail salespersons,2018,764,543,221,2015,Retail Salespersons,3
Retail salespersons,2019,806,578,228,2015,Retail Salespersons,29
Retail salespersons,2020,779,603,176,2015,Retail Salespersons,-4
Retail salespersons,2021,855,635,220,2015,Retail Salespersons,0
Sales and related occupations,2015,880,578,302,2015,Other Sales Occupations,119
Sales and related occupations,2016,904,590,314,2015,Other Sales Occupations,117
Sales and related occupations,2017,934,609,325,2015,Other Sales Occupations,81
Sales and related occupations,2019,982,677,305,2015,Other Sales Occupations,46
Sales and related occupations,2020,1046,715,331,2015,Other Sales Occupations,164
Sales and related occupations,2021,1049,720,329,2015,Other Sales Occupations,-28
"Sales representatives, wholesale and manufacturing",2015,1066,917,149,2015,Sales Representatives,0
"Sales representatives, wholesale and manufacturing",2016,1140,872,268,2015,Sales Representatives,-71
"Sales representatives, wholesale and manufacturing",2017,1222,956,266,2015,Sales Representatives,-8
"Sales representatives, wholesale and manufacturing",2018,1239,1009,230,2015,Sales Representatives,-9
"Sales representatives, wholesale and manufacturing",2019,1262,1067,195,2015,Sales Representatives,24
"Sales representatives, wholesale and manufacturing",2020,1378,1065,313,2015,Sales Representatives,27
"Sales representatives, wholesale and manufacturing",2021,1356,1157,199,2015,Sales Representatives,-22
Secondary school teachers,2015,1149,1006,143,2015,Secondary School Teachers,0
Secondary school teachers,2016,1146,1074,72,2015,Secondary School Teachers,20
Secondary school teachers,2017,1226,1091,135,2015,Secondary School Teachers,14
Secondary school teachers,2018,1226,1092,134,2015,Secondary School Teachers,47
Secondary school teachers,2019,1262,1095,167,2015,Secondary School Teachers,-71
Secondary school teachers,2020,1319,1149,170,2015,Secondary School Teachers,49
Secondary school teachers,2021,1269,1159,110,2015,Secondary School Teachers,12
Secretaries and administrative assistants,2015,786,683,103,2015,Secretaries ,0
Secretaries and administrative assistants,2016,831,708,123,2015,Secretaries ,4
Secretaries and administrative assistants,2017,852,735,117,2015,Secretaries ,-9
Secretaries and administrative assistants,2018,903,753,150,2015,Secretaries ,53
Secretaries and administrative assistants,2019,795,763,32,2015,Secretaries ,5
Secretaries and administrative assistants,2020,929,777,152,2015,Secretaries ,0
Secretaries and administrative assistants,2021,1006,807,199,2015,Secretaries ,25
Security guards and gaming surveillance officers,2015,592,515,77,2015,Security Guards And Surveillance,0
Security guards and gaming surveillance officers,2016,597,516,81,2015,Security Guards And Surveillance,74
Security guards and gaming surveillance officers,2017,616,548,68,2015,Security Guards And Surveillance,-46
Security guards and gaming surveillance officers,2018,636,506,130,2015,Security Guards And Surveillance,-20
Security guards and gaming surveillance officers,2019,671,589,82,2015,Security Guards And Surveillance,83
Security guards and gambling surveillance officers,2020,680,583,97,2020,Security Guards And Surveillance,117
Security guards and gambling surveillance officers,2021,704,641,63,2020,Security Guards And Surveillance,-14
Social workers,2015,943,862,81,2015,Social Workers,0
Social workers,2016,1039,884,155,2015,Social Workers,-26
Social workers,2017,935,900,35,2015,Social Workers,-16
Social workers,2018,958,897,61,2015,Social Workers,-86
Social workers,2019,1108,944,164,2015,Social Workers,-134
Social workers,2020,1170,972,198,2015,Social Workers,-60
Social workers,2021,1232,1049,183,2015,Social Workers,-35
Software developers,2015,1751,1415,336,2015,Software Developers,0
Software developers,2016,1863,1553,310,2015,Software Developers,-24
Software developers,2017,1863,1543,320,2015,Software Developers,2
Software developers,2018,1894,1644,250,2015,Software Developers,-19
Software developers,2019,1920,1718,202,2015,Software Developers,-22
Software developers,2020,2004,1728,276,2015,Software Developers,-5
Software developers,2021,1992,1840,152,2015,Software Developers,-9
Stockers and order fillers,2015,537,506,31,2015,Stockers And Order Fillers,0
Stockers and order fillers,2016,533,526,7,2015,Stockers And Order Fillers,81
Stockers and order fillers,2017,571,538,33,2015,Stockers And Order Fillers,10
Stockers and order fillers,2018,558,570,12,2015,Stockers And Order Fillers,104
Stockers and order fillers,2019,596,605,9,2015,Stockers And Order Fillers,104
Stockers and order fillers,2020,602,576,26,2015,Stockers And Order Fillers,-3
Stockers and order fillers,2021,620,603,17,2015,Stockers And Order Fillers,0
Teaching assistants,2016,501,525,24,2016,Teaching Assistants,-40
Teaching assistants,2017,642,537,105,2016,Teaching Assistants,11
Teaching assistants,2018,584,550,34,2016,Teaching Assistants,1
Teaching assistants,2019,707,579,128,2016,Teaching Assistants,-24
Teaching assistants,2020,732,604,128,2016,Teaching Assistants,-26
Teaching assistants,2021,639,641,2,2016,Teaching Assistants,33
Transportation and material moving occupations,2015,679,494,185,2015,Transportation And Moving,0
Transportation and material moving occupations,2016,685,540,145,2015,Transportation And Moving,-27
Transportation and material moving occupations,2017,710,514,196,2015,Transportation And Moving,-32
Transportation and material moving occupations,2018,724,538,186,2015,Transportation And Moving,-17
Transportation and material moving occupations,2019,747,586,161,2015,Transportation And Moving,13
Transportation and material moving occupations,2020,759,600,159,2015,Transportation And Moving,-24
Transportation and material moving occupations,2021,786,624,162,2015,Transportation And Moving,-59
Waiters and waitresses,2015,501,411,90,2015,Waiters And Waitresses,0
Waiters and waitresses,2016,504,441,63,2015,Waiters And Waitresses,-27
Waiters and waitresses,2017,533,475,58,2015,Waiters And Waitresses,-32
Waiters and waitresses,2018,551,478,73,2015,Waiters And Waitresses,-17
Waiters and waitresses,2019,594,491,103,2015,Waiters And Waitresses,13
Waiters and waitresses,2020,563,497,66,2015,Waiters And Waitresses,-24
Waiters and waitresses,2021,605,524,81,2015,Waiters And Waitresses,-9
